시도교육청명,행정표준코드,학교명,학교과정명,분석단위ID,학교표시명,전체일수,방학일수,메인분석일수,휴업일수,수업일수,추론방학일수
부산광역시교육청,7181047,수정초등학교,초등학교,C10_7181047_초등학교,수정초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7181049,양동초등학교,초등학교,C10_7181049_초등학교,양동초등학교 (초등학교),365,87,278,90,188,0
부산광역시교육청,7181050,양성초등학교,초등학교,C10_7181050_초등학교,양성초등학교 (초등학교),365,87,278,90,188,0
부산광역시교육청,7181051,양정초등학교,초등학교,C10_7181051_초등학교,양정초등학교 (초등학교),365,85,280,92,188,0
부산광역시교육청,7181052,연지초등학교,초등학교,C10_7181052_초등학교,연지초등학교 (초등학교),365,83,282,93,189,0
부산광역시교육청,7181053,연포초등학교,초등학교,C10_7181053_초등학교,연포초등학교 (초등학교),365,83,282,94,188,0
부산광역시교육청,7181054,연학초등학교,초등학교,C10_7181054_초등학교,연학초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7181055,오륙도초등학교,초등학교,C10_7181055_초등학교,오륙도초등학교 (초등학교),365,82,283,94,189,0
부산광역시교육청,7181056,용당초등학교,초등학교,C10_7181056_초등학교,용당초등학교 (초등학교),365,86,279,90,189,0
부산광역시교육청,7181057,용문초등학교,초등학교,C10_7181057_초등학교,용문초등학교 (초등학교),365,52,313,125,188,0
부산광역시교육청,7181058,용산초등학교,초등학교,C10_7181058_초등학교,용산초등학교 (초등학교),365,83,282,94,188,0
부산광역시교육청,7181059,용호초등학교,초등학교,C10_7181059_초등학교,용호초등학교 (초등학교),365,80,285,95,190,0
부산광역시교육청,7181060,우암초등학교,초등학교,C10_7181060_초등학교,우암초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7181061,운산초등학교,초등학교,C10_7181061_초등학교,운산초등학교 (초등학교),365,85,280,92,188,0
부산광역시교육청,7181062,전포초등학교,초등학교,C10_7181062_초등학교,전포초등학교 (초등학교),365,82,283,94,189,0
부산광역시교육청,7181065,주례초등학교,초등학교,C10_7181065_초등학교,주례초등학교 (초등학교),365,85,280,92,188,0
부산광역시교육청,7181067,초량초등학교,초등학교,C10_7181067_초등학교,초량초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7181068,초읍초등학교,초등학교,C10_7181068_초등학교,초읍초등학교 (초등학교),365,81,284,95,189,0
부산광역시교육청,7181069,동성초등학교,초등학교,C10_7181069_초등학교,동성초등학교 (초등학교),365,82,283,95,188,0
부산광역시교육청,7181070,가야여자중학교,중학교,C10_7181070_중학교,가야여자중학교 (중학교),365,82,283,95,188,0
부산광역시교육청,7181071,감만중학교,중학교,C10_7181071_중학교,감만중학교 (중학교),365,85,280,92,188,0
부산광역시교육청,7181072,개금여자중학교,중학교,C10_7181072_중학교,개금여자중학교 (중학교),365,83,282,93,189,0
부산광역시교육청,7181073,개림중학교,중학교,C10_7181073_중학교,개림중학교 (중학교),365,84,281,92,189,0
부산광역시교육청,7181074,경남여자중학교,중학교,C10_7181074_중학교,경남여자중학교 (중학교),365,84,281,93,188,0
부산광역시교육청,7181075,광무여자중학교,중학교,C10_7181075_중학교,광무여자중학교 (중학교),365,84,281,93,188,0
부산광역시교육청,7181076,남천중학교,중학교,C10_7181076_중학교,남천중학교 (중학교),365,55,310,122,188,0
부산광역시교육청,7181077,대연중학교,중학교,C10_7181077_중학교,대연중학교 (중학교),365,77,288,97,191,0
부산광역시교육청,7181078,대천중학교,중학교,C10_7181078_중학교,대천중학교 (중학교),365,76,289,100,189,0
부산광역시교육청,7181079,동양중학교,중학교,C10_7181079_중학교,동양중학교 (중학교),365,86,279,90,189,0
부산광역시교육청,7181080,동평여자중학교,중학교,C10_7181080_중학교,동평여자중학교 (중학교),365,83,282,93,189,0
부산광역시교육청,7181081,동평중학교,중학교,C10_7181081_중학교,동평중학교 (중학교),365,86,279,91,188,0
부산광역시교육청,7181082,동항중학교,중학교,C10_7181082_중학교,동항중학교 (중학교),365,86,279,91,188,0
부산광역시교육청,7181083,문현여자중학교,중학교,C10_7181083_중학교,문현여자중학교 (중학교),365,84,281,91,190,0
부산광역시교육청,7181084,부산개성중학교,중학교,C10_7181084_중학교,부산개성중학교 (중학교),365,82,283,92,191,0
부산광역시교육청,7181085,부산국제중학교,중학교,C10_7181085_중학교,부산국제중학교 (중학교),365,74,291,103,188,0
부산광역시교육청,7181086,부산서중학교,중학교,C10_7181086_중학교,부산서중학교 (중학교),365,81,284,95,189,0
부산광역시교육청,7181088,부산중학교,중학교,C10_7181088_중학교,부산중학교 (중학교),365,83,282,93,189,0
부산광역시교육청,7181089,부산진여자중학교,중학교,C10_7181089_중학교,부산진여자중학교 (중학교),365,87,278,90,188,0
