시도교육청코드,시도교육청명,행정표준코드,학교명,학교과정명,분석단위ID,학교표시명,분석일수,휴업일수,수업일수,평균기억점수,평균위험점수,최대위험점수,최저기억점수,고위험일수,휴업일비율,고위험일비율,최종위험지수,위험등급,방학일수,추론방학일수,위험백분위,상대위험등급
R10,경상북도교육청,8811049,이산초등학교,초등학교,R10_8811049_초등학교,이산초등학교 (초등학교),337,148,189,68.48772710543614,31.512272894563875,89.21918459596085,10.780815404039153,51,43.916913946587535,15.133531157270031,26.598650373375722,낮음,28,0,99.84956452889945,상위 5%
J10,경기도교육청,7531142,상동고등학교부설방송통신고등학교,고등학교,J10_7531142_고등학교,상동고등학교부설방송통신고등학교 (고등학교),338,166,172,64.60283280116832,35.39716719883168,77.28967513968914,22.710324860310866,20,49.112426035502956,5.9171597633136095,26.553164968176258,낮음,27,0,99.84164687252573,상위 5%
D10,대구광역시교육청,7281123,심인중학교,중학교,D10_7281123_중학교,심인중학교 (중학교),336,146,190,68.64904176578632,31.350958234213685,84.37783389441846,15.62216610558154,51,43.452380952380956,15.178571428571427,26.499242192521006,낮음,29,0,99.83372921615202,상위 5%
E10,인천광역시교육청,7341016,인천구월초등학교,초등학교,E10_7341016_초등학교,인천구월초등학교 (초등학교),335,146,189,68.73151032901626,31.268489670983747,89.62472997900221,10.37527002099779,51,43.582089552238806,15.223880597014924,26.455106948793098,낮음,30,0,99.82581155977832,상위 5%
D10,대구광역시교육청,7251013,동원중학교,중학교,D10_7251013_중학교,동원중학교 (중학교),337,147,190,69.05504903704313,30.944950962956863,86.6352687047494,13.364731295250609,53,43.62017804154303,15.727002967359049,26.379566564277518,낮음,28,0,99.8178939034046,상위 5%
D10,대구광역시교육청,7251219,율원중학교,중학교,D10_7251219_중학교,율원중학교 (중학교),336,146,190,68.87094901214573,31.12905098785427,89.62472997900221,10.37527002099779,51,43.452380952380956,15.178571428571427,26.343907120069414,낮음,29,0,99.80997624703087,상위 5%
R10,경상북도교육청,8961026,도촌초등학교,초등학교,R10_8961026_초등학교,도촌초등학교 (초등학교),334,145,189,68.78506987763541,31.214930122364596,89.21918459596085,10.780815404039153,50,43.41317365269461,14.97005988023952,26.34146904972707,낮음,31,0,99.80205859065717,상위 5%
M10,충청북도교육청,8071012,정수중학교,중학교,M10_8071012_중학교,정수중학교 (중학교),340,149,191,68.71694561405504,31.28305438594496,89.06360163553332,10.936398364466681,50,43.8235294117647,14.705882352941178,26.309902776043828,낮음,25,0,99.79414093428345,상위 5%
R10,경상북도교육청,8921018,고령초등학교,초등학교,R10_8921018_초등학교,고령초등학교 (초등학교),351,161,190,68.69273893459959,31.3072610654004,84.31941704198039,15.680582958019608,51,45.86894586894587,14.529914529914532,26.27405710475464,낮음,14,0,99.78622327790974,상위 5%
R10,경상북도교육청,8961028,명호초등학교,초등학교,R10_8961028_초등학교,명호초등학교 (초등학교),349,159,190,68.91613495521926,31.083865044780733,85.18502080534445,14.814979194655548,52,45.55873925501432,14.899713467048711,26.228619571461124,낮음,16,0,99.77830562153602,상위 5%
D10,대구광역시교육청,7261080,대구태현초등학교,초등학교,D10_7261080_초등학교,대구태현초등학교 (초등학교),332,143,189,69.09989826435009,30.9001017356499,89.06360163553332,10.936398364466681,50,43.07228915662651,15.060240963855422,26.14814350411156,낮음,33,0,99.77038796516231,상위 5%
S10,경상남도교육청,9010192,진주고등학교부설방송통신고등학교,고등학교,S10_9010192_고등학교,진주고등학교부설방송통신고등학교 (고등학교),317,150,167,65.40523449178366,34.594765508216355,71.24446665310452,28.755533346895476,10,47.3186119873817,3.1545741324921135,25.16270809549908,낮음,48,0,99.7624703087886,상위 5%
Q10,전라남도교육청,8511102,여도초등학교,초등학교,Q10_8511102_초등학교,여도초등학교 (초등학교),347,158,189,70.57651054545642,29.42348945454359,82.14983900206461,17.850160997935387,42,45.53314121037464,12.103746397694524,24.22756653748887,낮음,18,0,99.75455265241489,상위 5%
D10,대구광역시교육청,7271047,송현여자중학교,중학교,D10_7271047_중학교,송현여자중학교 (중학교),318,128,190,70.76312618055924,29.236873819440767,89.78627151527316,10.213728484726838,38,40.25157232704403,11.949685534591195,24.050717333985894,낮음,47,0,99.74663499604117,상위 5%
K10,강원특별자치도교육청,7822152,원주중학교부설방송통신중학교,중학교,K10_7822152_중학교,원주중학교부설방송통신중학교 (중학교),305,137,168,67.27241474140736,32.72758525859264,70.66664752914573,29.33335247085426,11,44.91803278688525,3.606557377049181,23.9912768941296,낮음,60,0,99.73871733966746,상위 5%
B10,서울특별시교육청,7011207,은평문화예술정보학교,고등학교,B10_7011207_고등학교,은평문화예술정보학교 (고등학교),288,136,152,67.66238174875318,32.33761825124682,74.33668258477759,25.663317415222412,10,47.22222222222222,3.4722222222222223,23.67799944253944,낮음,77,0,99.73079968329375,상위 5%
B10,서울특별시교육청,7010385,경기여자고등학교부설방송통신고등학교,고등학교,B10_7010385_고등학교,경기여자고등학교부설방송통신고등학교 (고등학교),276,128,148,67.13491657226263,32.86508342773738,65.48976162259275,34.51023837740725,6,46.3768115942029,2.1739130434782608,23.657732312459643,낮음,89,0,99.72288202692003,상위 5%
D10,대구광역시교육청,7240454,대구소프트웨어마이스터고등학교,고등학교,D10_7240454_고등학교,대구소프트웨어마이스터고등학교 (고등학교),345,140,205,71.36817887830648,28.631821121693523,87.76274111097952,12.237258889020476,40,40.57971014492754,11.594202898550725,23.520535654750685,낮음,20,0,99.71496437054633,상위 5%
B10,서울특별시교육청,7011317,금천문화예술정보학교,고등학교,B10_7011317_고등학교,금천문화예술정보학교 (고등학교),287,134,153,67.79310595260382,32.20689404739616,74.33668258477759,25.663317415222412,9,46.68989547038328,3.1358885017421603,23.485592383699963,낮음,78,0,99.7070467141726,상위 5%
E10,인천광역시교육청,7310129,인천여자고등학교부설방송통신고등학교,고등학교,E10_7310129_고등학교,인천여자고등학교부설방송통신고등학교 (고등학교),310,139,171,67.47630140373346,32.52369859626654,65.48976162259275,34.51023837740725,3,44.83870967741935,0.967741935483871,23.05691159803174,낮음,55,0,99.6991290577989,상위 5%
F10,광주광역시교육청,7380098,광주고등학교부설방송통신고등학교,고등학교,F10_7380098_고등학교,광주고등학교부설방송통신고등학교 (고등학교),299,129,170,70.67349523605053,29.326504763949465,76.64757493364957,23.352425066350428,25,43.1438127090301,8.361204013377927,23.036914538778003,낮음,66,0,99.69121140142518,상위 5%
