분석단위ID,detail_file
B10_7010189_고등학교,details/detail_part_000.parquet
B10_7010190_고등학교,details/detail_part_000.parquet
B10_7010191_고등학교,details/detail_part_000.parquet
B10_7010192_고등학교,details/detail_part_000.parquet
B10_7010193_고등학교,details/detail_part_000.parquet
B10_7010194_고등학교,details/detail_part_000.parquet
B10_7010195_고등학교,details/detail_part_000.parquet
B10_7010196_고등학교,details/detail_part_000.parquet
B10_7010197_고등학교,details/detail_part_000.parquet
B10_7010198_고등학교,details/detail_part_000.parquet
B10_7010199_고등학교,details/detail_part_000.parquet
B10_7010200_고등학교,details/detail_part_000.parquet
B10_7010201_고등학교,details/detail_part_000.parquet
B10_7010202_고등학교,details/detail_part_000.parquet
B10_7010203_고등학교,details/detail_part_000.parquet
B10_7010204_고등학교,details/detail_part_000.parquet
B10_7010205_고등학교,details/detail_part_000.parquet
B10_7010206_고등학교,details/detail_part_000.parquet
B10_7010208_고등학교,details/detail_part_000.parquet
B10_7010209_고등학교,details/detail_part_000.parquet
B10_7010212_고등학교,details/detail_part_000.parquet
B10_7010214_고등학교,details/detail_part_000.parquet
B10_7010215_고등학교,details/detail_part_000.parquet
B10_7010216_고등학교,details/detail_part_000.parquet
B10_7010217_고등학교,details/detail_part_000.parquet
B10_7010218_고등학교,details/detail_part_000.parquet
B10_7010219_고등학교,details/detail_part_000.parquet
B10_7010220_고등학교,details/detail_part_000.parquet
B10_7010221_고등학교,details/detail_part_000.parquet
B10_7010222_고등학교,details/detail_part_000.parquet
B10_7010223_고등학교,details/detail_part_000.parquet
B10_7010226_고등학교,details/detail_part_000.parquet
B10_7010227_고등학교,details/detail_part_000.parquet
B10_7010230_고등학교,details/detail_part_000.parquet
B10_7010231_고등학교,details/detail_part_000.parquet
B10_7010232_고등학교,details/detail_part_000.parquet
B10_7010233_고등학교,details/detail_part_000.parquet
B10_7010234_고등학교,details/detail_part_000.parquet
B10_7010235_고등학교,details/detail_part_000.parquet
B10_7010236_고등학교,details/detail_part_000.parquet
B10_7010237_고등학교,details/detail_part_000.parquet
B10_7010238_고등학교,details/detail_part_000.parquet
B10_7010239_고등학교,details/detail_part_000.parquet
B10_7010240_고등학교,details/detail_part_000.parquet
B10_7010241_고등학교,details/detail_part_000.parquet
B10_7010243_고등학교,details/detail_part_000.parquet
B10_7010244_고등학교,details/detail_part_000.parquet
B10_7010245_고등학교,details/detail_part_000.parquet
B10_7010246_고등학교,details/detail_part_000.parquet
B10_7010247_고등학교,details/detail_part_000.parquet
B10_7010248_고등학교,details/detail_part_000.parquet
B10_7010250_고등학교,details/detail_part_000.parquet
B10_7010251_고등학교,details/detail_part_000.parquet
B10_7010252_고등학교,details/detail_part_000.parquet
B10_7010253_고등학교,details/detail_part_000.parquet
B10_7010254_고등학교,details/detail_part_000.parquet
B10_7010255_고등학교,details/detail_part_000.parquet
B10_7010258_고등학교,details/detail_part_000.parquet
B10_7010259_고등학교,details/detail_part_000.parquet
B10_7010260_고등학교,details/detail_part_000.parquet
B10_7010261_고등학교,details/detail_part_000.parquet
B10_7010262_고등학교,details/detail_part_000.parquet
B10_7010263_고등학교,details/detail_part_000.parquet
B10_7010264_고등학교,details/detail_part_000.parquet
B10_7010265_고등학교,details/detail_part_000.parquet
B10_7010266_고등학교,details/detail_part_000.parquet
B10_7010267_고등학교,details/detail_part_000.parquet
B10_7010268_고등학교,details/detail_part_000.parquet
B10_7010271_고등학교,details/detail_part_000.parquet
B10_7010272_고등학교,details/detail_part_000.parquet
B10_7010278_고등학교,details/detail_part_000.parquet
B10_7010317_고등학교,details/detail_part_000.parquet
B10_7010340_고등학교,details/detail_part_000.parquet
B10_7010346_고등학교,details/detail_part_000.parquet
B10_7010356_고등학교,details/detail_part_000.parquet
B10_7010365_고등학교,details/detail_part_000.parquet
B10_7010370_고등학교,details/detail_part_000.parquet
B10_7010377_고등학교,details/detail_part_000.parquet
B10_7010385_고등학교,details/detail_part_000.parquet
B10_7010386_고등학교,details/detail_part_000.parquet
B10_7010387_고등학교,details/detail_part_000.parquet
B10_7010389_고등학교,details/detail_part_000.parquet
B10_7010390_고등학교,details/detail_part_000.parquet
B10_7010456_고등학교,details/detail_part_000.parquet
B10_7010456_중학교,details/detail_part_000.parquet
B10_7010456_초등학교,details/detail_part_000.parquet
B10_7010457_고등학교,details/detail_part_000.parquet
B10_7010457_중학교,details/detail_part_000.parquet
B10_7010457_초등학교,details/detail_part_000.parquet
B10_7010459_고등학교,details/detail_part_000.parquet
B10_7010459_중학교,details/detail_part_000.parquet
B10_7010459_초등학교,details/detail_part_000.parquet
B10_7010460_고등학교,details/detail_part_000.parquet
B10_7010460_중학교,details/detail_part_000.parquet
B10_7010460_초등학교,details/detail_part_000.parquet
B10_7010464_고등학교,details/detail_part_000.parquet
B10_7010464_중학교,details/detail_part_000.parquet
B10_7010464_초등학교,details/detail_part_000.parquet
B10_7010465_고등학교,details/detail_part_000.parquet
B10_7010465_중학교,details/detail_part_000.parquet
B10_7010465_초등학교,details/detail_part_000.parquet
B10_7010469_고등학교,details/detail_part_000.parquet
B10_7010469_중학교,details/detail_part_000.parquet
B10_7010469_초등학교,details/detail_part_000.parquet
B10_7010472_고등학교,details/detail_part_000.parquet
B10_7010472_중학교,details/detail_part_000.parquet
B10_7010472_초등학교,details/detail_part_000.parquet
B10_7010473_고등학교,details/detail_part_000.parquet
B10_7010473_중학교,details/detail_part_000.parquet
B10_7010473_초등학교,details/detail_part_000.parquet
B10_7010474_고등학교,details/detail_part_000.parquet
B10_7010474_중학교,details/detail_part_000.parquet
B10_7010474_초등학교,details/detail_part_000.parquet
B10_7010519_고등학교,details/detail_part_000.parquet
B10_7010519_중학교,details/detail_part_000.parquet
B10_7010519_초등학교,details/detail_part_000.parquet
B10_7010520_고등학교,details/detail_part_000.parquet
B10_7010520_중학교,details/detail_part_000.parquet
B10_7010520_초등학교,details/detail_part_000.parquet
B10_7010521_고등학교,details/detail_part_000.parquet
B10_7010521_중학교,details/detail_part_000.parquet
B10_7010521_초등학교,details/detail_part_000.parquet
B10_7010533_고등학교,details/detail_part_000.parquet
B10_7010533_중학교,details/detail_part_000.parquet
B10_7010533_초등학교,details/detail_part_000.parquet
B10_7010536_고등학교,details/detail_part_000.parquet
B10_7010537_고등학교,details/detail_part_000.parquet
B10_7010544_고등학교,details/detail_part_000.parquet
B10_7010547_고등학교,details/detail_part_000.parquet
B10_7010552_고등학교,details/detail_part_000.parquet
B10_7010559_고등학교,details/detail_part_000.parquet
B10_7010560_고등학교,details/detail_part_000.parquet
B10_7010561_고등학교,details/detail_part_000.parquet
B10_7010561_중학교,details/detail_part_000.parquet
B10_7010561_초등학교,details/detail_part_000.parquet
B10_7010562_고등학교,details/detail_part_000.parquet
B10_7010563_고등학교,details/detail_part_000.parquet
B10_7010564_고등학교,details/detail_part_000.parquet
B10_7010565_고등학교,details/detail_part_000.parquet
B10_7010566_고등학교,details/detail_part_000.parquet
B10_7010567_고등학교,details/detail_part_000.parquet
B10_7010572_고등학교,details/detail_part_000.parquet
B10_7010575_고등학교,details/detail_part_000.parquet
B10_7010575_중학교,details/detail_part_000.parquet
B10_7010575_초등학교,details/detail_part_000.parquet
B10_7010578_고등학교,details/detail_part_000.parquet
B10_7010578_중학교,details/detail_part_000.parquet
B10_7010578_초등학교,details/detail_part_000.parquet
B10_7010582_고등학교,details/detail_part_000.parquet
B10_7010582_중학교,details/detail_part_000.parquet
B10_7010582_초등학교,details/detail_part_000.parquet
B10_7010583_고등학교,details/detail_part_000.parquet
B10_7010583_중학교,details/detail_part_000.parquet
B10_7010583_초등학교,details/detail_part_000.parquet
B10_7010589_고등학교,details/detail_part_000.parquet
B10_7010590_고등학교,details/detail_part_000.parquet
B10_7010591_고등학교,details/detail_part_000.parquet
B10_7010593_고등학교,details/detail_part_000.parquet
B10_7010594_고등학교,details/detail_part_000.parquet
B10_7010697_고등학교,details/detail_part_000.parquet
B10_7010698_고등학교,details/detail_part_000.parquet
B10_7010700_고등학교,details/detail_part_000.parquet
B10_7010701_고등학교,details/detail_part_000.parquet
B10_7010702_고등학교,details/detail_part_000.parquet
B10_7010703_고등학교,details/detail_part_000.parquet
B10_7010712_고등학교,details/detail_part_000.parquet
B10_7010721_고등학교,details/detail_part_000.parquet
B10_7010734_고등학교,details/detail_part_000.parquet
B10_7010735_고등학교,details/detail_part_000.parquet
B10_7010736_고등학교,details/detail_part_000.parquet
B10_7010737_고등학교,details/detail_part_000.parquet
B10_7010738_고등학교,details/detail_part_000.parquet
B10_7010739_고등학교,details/detail_part_000.parquet
B10_7010740_고등학교,details/detail_part_000.parquet
B10_7010741_고등학교,details/detail_part_000.parquet
B10_7010744_고등학교,details/detail_part_000.parquet
B10_7010747_고등학교,details/detail_part_000.parquet
B10_7010764_고등학교,details/detail_part_000.parquet
B10_7010765_고등학교,details/detail_part_000.parquet
B10_7010766_고등학교,details/detail_part_000.parquet
B10_7010793_고등학교,details/detail_part_000.parquet
B10_7010795_고등학교,details/detail_part_000.parquet
B10_7010797_고등학교,details/detail_part_000.parquet
B10_7010805_고등학교,details/detail_part_000.parquet
B10_7010806_고등학교,details/detail_part_000.parquet
B10_7010808_고등학교,details/detail_part_000.parquet
B10_7010810_고등학교,details/detail_part_000.parquet
B10_7010811_고등학교,details/detail_part_000.parquet
B10_7010813_고등학교,details/detail_part_000.parquet
B10_7010816_고등학교,details/detail_part_000.parquet
B10_7010817_고등학교,details/detail_part_000.parquet
B10_7010818_고등학교,details/detail_part_000.parquet
B10_7010827_고등학교,details/detail_part_000.parquet
B10_7010828_고등학교,details/detail_part_000.parquet
B10_7010833_고등학교,details/detail_part_000.parquet
B10_7010835_고등학교,details/detail_part_000.parquet
B10_7010836_고등학교,details/detail_part_000.parquet
B10_7010837_고등학교,details/detail_part_000.parquet
B10_7010859_고등학교,details/detail_part_000.parquet
B10_7010859_중학교,details/detail_part_000.parquet
B10_7010859_초등학교,details/detail_part_000.parquet
B10_7010882_고등학교,details/detail_part_000.parquet
B10_7010883_고등학교,details/detail_part_000.parquet
B10_7010884_고등학교,details/detail_part_000.parquet
B10_7010885_고등학교,details/detail_part_000.parquet
B10_7010886_고등학교,details/detail_part_000.parquet
B10_7010888_고등학교,details/detail_part_000.parquet
B10_7010889_고등학교,details/detail_part_000.parquet
B10_7010906_고등학교,details/detail_part_000.parquet
B10_7010908_고등학교,details/detail_part_000.parquet
B10_7010911_고등학교,details/detail_part_000.parquet
B10_7010916_고등학교,details/detail_part_000.parquet
B10_7010917_고등학교,details/detail_part_000.parquet
B10_7010918_고등학교,details/detail_part_000.parquet
